,年龄,工作,婚姻状况,学历,信用违约,房贷,个人贷款,通讯类型,联系日期,联系月份,通话时间,联系次数,距离上次联系的天数,活动前联系次数,上次营销活动的结果,本次活动结果
1181,34,服务业,已婚,中学,否,否,否,手机,12,五月,152,1,182,6,成功,是
1182,38,管理者,已婚,高等教育,否,是,否,未知,21,五月,164,2,-1,0,未知,否
1183,32,个体户,已婚,中学,否,是,否,未知,28,五月,234,3,-1,0,未知,否
1184,37,技术人员,已婚,中学,否,否,否,手机,27,八月,154,4,-1,0,未知,否
1185,33,行政,已婚,中学,否,是,否,未知,7,五月,566,2,-1,0,未知,否
1186,71,技术人员,已婚,高等教育,否,否,否,手机,27,十月,327,2,183,3,成功,否
1187,27,技术人员,已婚,中学,否,是,否,手机,7,五月,265,3,-1,0,未知,否
1188,38,蓝领,已婚,小学,否,否,否,未知,9,六月,172,1,-1,0,未知,否
1189,34,技术人员,单身,中学,否,否,否,手机,22,七月,257,2,-1,0,未知,否
1190,54,已退休,离异,高等教育,否,否,否,未知,13,五月,618,1,-1,0,未知,是
1191,30,蓝领,已婚,中学,否,是,否,手机,28,一月,241,3,-1,0,未知,否
1192,35,企业家,单身,中学,否,否,是,手机,21,七月,936,4,-1,0,未知,否
1193,33,蓝领,单身,中学,否,是,否,手机,7,四月,329,1,322,1,失败,否
1194,36,管理者,已婚,中学,否,是,否,手机,14,五月,24,1,346,1,失败,否
1195,59,个体户,已婚,高等教育,否,否,否,手机,22,六月,177,5,138,1,失败,否
1196,72,蓝领,已婚,小学,否,否,否,座机,13,十月,120,1,-1,0,未知,否
1197,64,管理者,已婚,高等教育,否,否,否,座机,22,四月,135,3,-1,0,未知,否
1198,53,技术人员,离异,中学,否,否,否,手机,9,七月,175,1,-1,0,未知,否
1199,35,管理者,单身,高等教育,否,是,否,手机,25,五月,179,1,-1,0,未知,否
1200,58,个体户,已婚,中学,否,是,否,未知,30,五月,58,1,-1,0,未知,否
1201,40,技术人员,已婚,中学,否,否,否,手机,17,四月,342,2,-1,0,未知,否
1202,41,服务业,离异,中学,否,是,否,手机,13,五月,139,2,-1,0,未知,否
1203,48,已退休,已婚,小学,否,是,否,未知,18,六月,88,8,-1,0,未知,否
1204,44,企业家,已婚,高等教育,否,是,是,手机,28,八月,210,3,-1,0,未知,否
1205,39,蓝领,已婚,未知,否,否,否,手机,2,二月,731,1,193,3,失败,否
1206,61,管理者,已婚,高等教育,否,否,否,手机,2,二月,670,3,-1,0,未知,是
1207,36,企业家,已婚,小学,否,是,否,未知,12,五月,63,5,-1,0,未知,否
1208,28,管理者,已婚,高等教育,否,否,是,手机,8,七月,70,2,-1,0,未知,否
1209,58,已退休,单身,中学,否,否,是,手机,4,二月,72,6,274,4,失败,否
1210,60,行政,离异,中学,否,是,否,手机,15,五月,241,1,364,1,失败,否
1211,66,行政,单身,中学,否,否,否,手机,5,五月,272,4,-1,0,未知,否
1212,36,管理者,单身,高等教育,否,否,否,手机,28,八月,207,8,98,1,失败,是
1213,49,个体户,已婚,中学,否,是,否,手机,15,五月,64,6,-1,0,未知,否
1214,40,服务业,已婚,中学,否,否,否,未知,12,六月,543,2,-1,0,未知,否
1215,23,技术人员,单身,中学,否,否,否,手机,30,四月,166,1,-1,0,未知,否
1216,29,管理者,单身,高等教育,否,否,否,手机,26,五月,245,3,97,7,成功,否
1217,44,蓝领,已婚,小学,否,是,是,未知,9,五月,94,1,-1,0,未知,否
1218,54,未知,已婚,未知,否,否,否,未知,20,六月,34,8,-1,0,未知,否
1219,47,蓝领,已婚,小学,否,否,否,座机,30,七月,203,2,-1,0,未知,否
1220,33,行政,已婚,高等教育,否,否,否,手机,24,七月,318,1,-1,0,未知,否
1221,30,个体户,已婚,中学,否,是,否,手机,13,四月,158,4,-1,0,未知,否
1222,27,行政,单身,中学,否,否,是,手机,21,七月,177,1,-1,0,未知,否
1223,49,管理者,离异,高等教育,否,是,是,未知,17,十一月,56,1,103,2,其他,否
1224,27,服务业,单身,中学,否,是,否,未知,4,六月,172,2,-1,0,未知,否
1225,51,蓝领,已婚,中学,否,是,否,手机,7,五月,136,1,359,1,失败,否
1226,32,行政,离异,中学,是,是,是,手机,18,五月,82,3,363,2,其他,否
1227,30,蓝领,单身,中学,否,是,否,未知,16,五月,123,1,-1,0,未知,否
1228,33,行政,已婚,中学,否,是,否,手机,20,十一月,110,1,-1,0,未知,否
1229,27,蓝领,单身,小学,否,是,否,未知,30,五月,385,5,-1,0,未知,否
1230,75,已退休,离异,中学,否,否,否,手机,18,十二月,415,7,-1,0,未知,是
1231,37,服务业,离异,中学,否,是,否,手机,2,二月,73,1,-1,0,未知,否
1232,36,技术人员,单身,中学,否,是,否,未知,16,六月,243,2,-1,0,未知,否
1233,37,蓝领,已婚,中学,否,是,否,未知,9,五月,137,2,-1,0,未知,否
1234,35,管理者,已婚,高等教育,否,是,否,未知,23,五月,55,4,-1,0,未知,否
1235,32,服务业,已婚,中学,否,是,是,手机,20,四月,18,5,-1,0,未知,否
1236,32,行政,单身,中学,否,否,是,手机,16,七月,255,2,-1,0,未知,否
1237,35,行政,已婚,小学,否,是,否,手机,11,五月,95,1,-1,0,未知,否
1238,31,蓝领,已婚,小学,否,是,是,手机,10,七月,112,1,-1,0,未知,否
1239,28,蓝领,单身,中学,否,是,是,手机,5,五月,205,2,-1,0,未知,否
1240,27,服务业,已婚,中学,否,是,否,手机,18,五月,97,1,370,1,失败,否
1241,22,学生,单身,未知,否,否,否,手机,2,九月,154,1,-1,0,未知,否
1242,35,蓝领,已婚,小学,否,是,否,手机,13,五月,135,2,370,2,失败,否
1243,69,已退休,已婚,小学,否,否,否,手机,14,八月,230,1,-1,0,未知,否
1244,37,企业家,单身,高等教育,否,是,是,手机,17,十一月,349,1,-1,0,未知,否
1245,45,行政,单身,中学,否,是,否,手机,8,五月,38,1,-1,0,未知,否
1246,47,管理者,已婚,高等教育,否,是,否,手机,22,七月,268,1,-1,0,未知,否
1247,52,管理者,已婚,高等教育,否,是,否,手机,11,五月,94,4,-1,0,未知,否
1248,33,服务业,已婚,中学,否,是,否,手机,28,七月,263,2,-1,0,未知,否
1249,60,蓝领,已婚,小学,否,否,否,手机,18,八月,671,4,-1,0,未知,是
1250,33,管理者,离异,中学,否,是,是,未知,2,六月,197,1,-1,0,未知,否
1251,44,行政,已婚,中学,否,是,否,手机,28,一月,180,2,-1,0,未知,否
1252,38,企业家,已婚,中学,否,否,否,手机,20,十一月,452,2,-1,0,未知,否
1253,54,企业家,已婚,中学,否,是,否,未知,15,五月,352,1,-1,0,未知,否
1254,32,没工作,离异,小学,否,否,否,手机,15,七月,175,4,-1,0,未知,否
1255,33,技术人员,已婚,中学,否,是,是,手机,19,十一月,163,2,-1,0,未知,否
1256,55,服务业,离异,中学,否,是,否,未知,29,五月,200,2,-1,0,未知,否
1257,51,蓝领,已婚,小学,否,否,是,未知,16,六月,75,7,-1,0,未知,否
1258,48,蓝领,已婚,中学,否,是,否,手机,16,四月,227,1,-1,0,未知,否
1259,37,服务业,单身,中学,否,是,否,手机,3,二月,586,3,-1,0,未知,否
1260,33,服务业,单身,中学,否,否,是,手机,10,七月,119,5,-1,0,未知,否
1261,30,蓝领,已婚,小学,否,是,是,座机,22,七月,80,2,-1,0,未知,否
1262,43,蓝领,已婚,小学,否,是,是,手机,12,五月,112,2,330,3,其他,否
1263,49,技术人员,已婚,中学,否,是,否,未知,19,五月,130,2,-1,0,未知,否
1264,54,没工作,已婚,小学,否,是,否,手机,3,二月,237,3,-1,0,未知,否
1265,31,没工作,已婚,高等教育,否,否,否,手机,26,八月,377,8,-1,0,未知,否
1266,54,未知,已婚,未知,否,否,否,手机,7,十月,335,1,-1,0,未知,是
1267,36,没工作,已婚,中学,否,是,否,手机,29,七月,121,3,-1,0,未知,否
1268,30,行政,已婚,中学,否,否,否,手机,15,七月,127,5,-1,0,未知,否
1269,27,技术人员,单身,中学,否,否,否,未知,1,七月,650,2,-1,0,未知,是
1270,30,行政,已婚,中学,否,是,否,未知,16,五月,107,1,-1,0,未知,否
1271,30,蓝领,已婚,中学,否,是,否,未知,20,五月,610,2,-1,0,未知,否
1272,35,技术人员,离异,中学,否,否,否,手机,25,八月,124,4,-1,0,未知,否
1273,33,服务业,离异,中学,否,是,否,未知,8,五月,216,1,-1,0,未知,否
1274,43,蓝领,离异,小学,否,是,是,手机,31,七月,747,4,-1,0,未知,否
1275,41,蓝领,已婚,中学,否,是,否,手机,11,五月,313,1,349,3,其他,否
1276,41,管理者,离异,高等教育,否,否,否,手机,23,四月,252,9,185,5,其他,是
1277,46,行政,离异,中学,否,否,否,手机,13,二月,121,1,-1,0,未知,是
1278,54,蓝领,已婚,中学,否,是,否,未知,7,五月,799,1,-1,0,未知,否
1279,32,管理者,已婚,高等教育,否,是,否,手机,23,六月,883,1,674,4,失败,否
1280,30,技术人员,单身,高等教育,否,是,否,未知,16,五月,197,1,-1,0,未知,否
1281,40,企业家,已婚,小学,否,是,否,手机,11,七月,271,2,-1,0,未知,否
1282,30,蓝领,已婚,小学,否,否,否,未知,12,五月,221,2,-1,0,未知,否
1283,27,行政,已婚,中学,否,否,是,手机,14,七月,243,3,-1,0,未知,否
1284,41,蓝领,已婚,小学,否,是,否,未知,15,五月,72,1,-1,0,未知,否
1285,54,服务业,已婚,中学,否,是,否,手机,2,八月,155,2,-1,0,未知,否
1286,32,管理者,单身,高等教育,否,是,否,座机,28,一月,70,2,-1,0,未知,否
1287,31,管理者,已婚,高等教育,否,是,否,手机,11,二月,280,4,-1,0,未知,是
1288,42,蓝领,已婚,中学,否,是,否,未知,26,五月,115,2,-1,0,未知,否
1289,48,行政,已婚,小学,否,否,否,未知,20,六月,29,2,-1,0,未知,否
1290,34,蓝领,已婚,小学,否,是,否,手机,14,五月,406,2,-1,0,未知,否
1291,55,技术人员,离异,中学,否,是,是,手机,25,八月,113,3,-1,0,未知,否
1292,49,技术人员,已婚,中学,否,否,否,座机,30,七月,47,2,-1,0,未知,否
1293,46,管理者,离异,高等教育,否,否,否,未知,5,六月,36,2,-1,0,未知,否
1294,47,企业家,已婚,未知,否,是,否,未知,6,五月,135,2,-1,0,未知,否
1295,24,管理者,单身,高等教育,否,否,否,手机,3,七月,67,2,-1,0,未知,否
1296,58,企业家,已婚,中学,否,否,否,未知,16,六月,684,1,-1,0,未知,否
1297,32,管理者,单身,高等教育,否,否,否,手机,21,八月,686,5,-1,0,未知,是
1298,25,学生,单身,中学,否,是,否,手机,2,三月,170,3,-1,0,未知,否
1299,49,蓝领,已婚,中学,否,否,否,未知,17,六月,150,3,-1,0,未知,否
1300,59,已退休,离异,中学,否,否,否,手机,14,五月,1060,2,-1,0,未知,是
1301,30,管理者,单身,高等教育,否,是,否,未知,6,六月,122,16,-1,0,未知,否
1302,46,蓝领,已婚,中学,否,是,否,未知,26,五月,724,1,-1,0,未知,否
1303,42,管理者,已婚,未知,否,否,否,手机,19,十月,230,1,92,1,成功,是
1304,37,企业家,已婚,高等教育,否,否,否,未知,20,六月,187,2,-1,0,未知,否
1305,44,蓝领,已婚,小学,否,是,是,未知,19,五月,179,4,-1,0,未知,否
1306,49,服务业,已婚,中学,否,否,是,手机,4,八月,357,3,-1,0,未知,否
1307,41,蓝领,已婚,中学,否,否,否,未知,5,六月,82,1,-1,0,未知,否
1308,48,技术人员,已婚,高等教育,否,否,否,座机,26,八月,176,15,-1,0,未知,否
1309,31,管理者,已婚,中学,否,是,否,手机,7,四月,424,1,138,1,失败,否
1310,37,学生,已婚,未知,否,否,否,未知,18,六月,115,1,-1,0,未知,否
1311,51,服务业,已婚,中学,否,是,否,手机,3,二月,177,2,211,3,失败,否
1312,80,已退休,已婚,中学,否,否,否,座机,9,六月,712,1,64,12,失败,是
1313,32,管理者,单身,高等教育,否,是,否,未知,6,五月,118,1,-1,0,未知,否
1314,48,服务业,已婚,小学,是,是,否,未知,2,六月,25,7,-1,0,未知,否
1315,49,蓝领,已婚,高等教育,否,否,否,未知,12,六月,753,1,-1,0,未知,否
1316,30,管理者,已婚,高等教育,否,是,否,手机,17,七月,124,1,-1,0,未知,否
1317,27,个体户,单身,中学,否,是,否,手机,30,一月,208,2,-1,0,未知,否
1318,34,技术人员,已婚,中学,否,否,否,手机,13,八月,136,4,-1,0,未知,否
1319,49,管理者,已婚,中学,否,是,否,手机,19,十一月,1081,2,-1,0,未知,是
1320,48,管理者,已婚,高等教育,否,否,否,座机,7,五月,376,2,339,7,失败,否
1321,40,服务业,已婚,中学,否,否,否,手机,4,六月,78,1,-1,0,未知,否
1322,38,蓝领,已婚,中学,否,是,否,手机,18,十一月,354,1,-1,0,未知,否
1323,46,蓝领,已婚,小学,否,是,否,手机,6,五月,29,1,356,2,失败,否
1324,41,企业家,已婚,高等教育,否,是,否,手机,19,十一月,209,1,191,4,失败,否
1325,28,管理者,单身,高等教育,否,是,否,手机,14,五月,433,1,-1,0,未知,否
1326,51,服务业,已婚,未知,否,是,否,未知,29,五月,147,2,-1,0,未知,否
1327,33,蓝领,离异,小学,否,是,否,座机,11,五月,41,2,300,5,失败,否
1328,26,管理者,单身,高等教育,否,否,否,未知,26,五月,111,1,-1,0,未知,否
1329,34,行政,单身,中学,否,否,否,手机,14,四月,108,2,-1,0,未知,否
1330,27,蓝领,已婚,中学,是,是,否,手机,7,五月,411,2,-1,0,未知,否
1331,42,个体户,已婚,中学,否,否,否,手机,10,七月,108,2,-1,0,未知,否
1332,45,行政,已婚,中学,否,是,否,手机,3,六月,224,2,-1,0,未知,是
1333,31,技术人员,单身,中学,否,是,否,未知,12,五月,1083,2,-1,0,未知,否
1334,32,管理者,单身,高等教育,否,否,否,未知,12,五月,757,2,-1,0,未知,是
1335,39,蓝领,已婚,小学,否,否,否,未知,17,六月,57,1,-1,0,未知,否
1336,26,蓝领,单身,中学,否,是,是,手机,30,七月,95,5,-1,0,未知,否
1337,40,管理者,单身,高等教育,否,否,否,手机,15,三月,144,2,124,1,失败,否
1338,52,服务业,已婚,中学,否,否,否,手机,16,七月,135,1,-1,0,未知,否
1339,40,技术人员,单身,高等教育,否,否,否,手机,15,一月,176,2,-1,0,未知,否
1340,48,技术人员,已婚,中学,否,否,是,手机,7,八月,524,5,-1,0,未知,否
1341,31,服务业,已婚,中学,否,是,否,未知,13,五月,65,1,-1,0,未知,否
1342,27,行政,已婚,中学,否,是,是,手机,6,五月,653,1,334,2,成功,是
1343,47,技术人员,已婚,中学,否,是,否,未知,11,九月,91,1,100,2,其他,是
1344,28,管理者,单身,中学,否,否,否,手机,10,三月,93,1,-1,0,未知,是
1345,40,管理者,离异,高等教育,否,是,否,手机,6,五月,503,2,280,2,失败,否
1346,34,行政,已婚,中学,否,是,否,手机,13,四月,186,1,327,2,失败,否
1347,29,个体户,已婚,高等教育,否,是,否,未知,23,五月,121,2,-1,0,未知,否
1348,36,管理者,已婚,高等教育,否,否,是,手机,19,八月,452,2,-1,0,未知,否
1349,83,已退休,已婚,小学,否,否,否,座机,22,六月,883,1,140,1,失败,是
1350,55,服务业,离异,小学,否,是,否,未知,15,五月,104,2,-1,0,未知,否
1351,43,管理者,离异,高等教育,否,否,否,手机,29,一月,24,3,-1,0,未知,否
1352,23,学生,单身,中学,否,否,否,座机,19,六月,79,9,-1,0,未知,否
1353,44,技术人员,已婚,高等教育,否,否,否,手机,4,七月,178,2,-1,0,未知,否
1354,58,蓝领,已婚,小学,否,是,否,手机,15,五月,74,2,-1,0,未知,否
1355,29,行政,单身,中学,否,否,否,手机,10,三月,217,1,184,7,其他,否
1356,30,管理者,单身,高等教育,否,否,是,手机,2,二月,475,1,-1,0,未知,否
1357,29,行政,单身,中学,否,是,否,手机,7,五月,127,1,-1,0,未知,否
1358,41,技术人员,已婚,中学,否,否,否,手机,11,三月,101,1,-1,0,未知,否
1359,35,保姆,已婚,小学,否,是,否,手机,14,七月,340,3,-1,0,未知,否
1360,31,技术人员,单身,中学,否,是,否,手机,23,七月,158,4,-1,0,未知,否
1361,27,行政,单身,高等教育,否,否,否,手机,29,一月,242,1,-1,0,未知,否
1362,47,服务业,已婚,中学,否,是,否,未知,16,五月,323,1,-1,0,未知,否
1363,53,个体户,已婚,高等教育,否,是,是,未知,16,六月,18,30,-1,0,未知,否
1364,34,管理者,已婚,高等教育,否,是,否,手机,14,七月,68,3,-1,0,未知,否
1365,34,蓝领,已婚,小学,否,是,是,手机,9,七月,134,4,-1,0,未知,否
1366,36,管理者,已婚,高等教育,否,是,否,手机,14,五月,113,3,-1,0,未知,否
1367,40,技术人员,已婚,中学,否,是,否,手机,18,八月,43,4,-1,0,未知,否
1368,37,个体户,单身,高等教育,否,否,否,未知,17,六月,200,2,-1,0,未知,否
1369,65,已退休,离异,未知,否,否,否,手机,2,八月,245,2,-1,0,未知,否
1370,53,技术人员,离异,中学,否,是,否,未知,16,五月,343,4,-1,0,未知,否
1371,28,技术人员,单身,中学,否,否,否,手机,3,三月,229,1,-1,0,未知,否
1372,33,技术人员,离异,高等教育,否,是,否,未知,23,五月,530,1,-1,0,未知,否
1373,56,蓝领,已婚,小学,否,否,否,手机,13,八月,58,5,-1,0,未知,否
1374,45,个体户,已婚,中学,否,否,否,手机,30,四月,78,2,176,1,成功,否
1375,39,技术人员,已婚,中学,否,否,否,未知,5,六月,147,1,-1,0,未知,否
1376,28,管理者,单身,高等教育,否,是,否,手机,25,七月,40,1,-1,0,未知,否
1377,36,蓝领,已婚,小学,否,是,否,手机,18,十一月,618,2,-1,0,未知,否
1378,41,蓝领,已婚,小学,否,是,否,手机,20,四月,23,4,-1,0,未知,否
1379,46,行政,已婚,中学,否,否,否,手机,20,八月,293,1,90,4,其他,是
1380,41,蓝领,已婚,中学,否,是,否,手机,13,五月,16,6,176,5,其他,否
1381,59,服务业,已婚,中学,否,否,否,手机,23,七月,286,2,-1,0,未知,否
1382,24,行政,已婚,中学,否,是,否,手机,6,五月,209,1,321,1,失败,否
1383,34,管理者,已婚,高等教育,否,是,否,未知,21,五月,935,1,-1,0,未知,否
1384,40,蓝领,已婚,小学,否,是,否,未知,27,五月,260,1,-1,0,未知,否
1385,42,行政,已婚,中学,否,是,否,未知,16,六月,298,4,-1,0,未知,否
1386,50,服务业,已婚,中学,否,是,否,手机,15,四月,397,2,337,1,失败,否
1387,25,管理者,单身,高等教育,否,是,否,手机,17,九月,113,4,479,1,失败,否
1388,51,服务业,离异,中学,否,是,否,座机,17,十一月,76,1,-1,0,未知,否
1389,50,管理者,已婚,高等教育,否,否,是,手机,1,六月,141,1,-1,0,未知,否
1390,37,蓝领,已婚,未知,否,是,否,未知,23,五月,773,2,-1,0,未知,否
1391,21,服务业,单身,中学,否,否,否,座机,5,六月,329,1,95,1,其他,否
1392,52,蓝领,已婚,中学,否,是,否,未知,7,五月,423,1,-1,0,未知,否
1393,55,已退休,已婚,小学,否,否,否,手机,5,八月,67,4,-1,0,未知,否
1394,26,技术人员,单身,中学,否,是,是,未知,2,六月,626,1,-1,0,未知,否
1395,38,技术人员,已婚,高等教育,否,否,否,手机,18,十一月,578,2,-1,0,未知,是
1396,32,蓝领,已婚,中学,否,是,否,未知,9,五月,61,1,-1,0,未知,否
1397,31,蓝领,已婚,中学,否,是,否,未知,23,五月,248,4,-1,0,未知,否
1398,34,技术人员,单身,中学,否,否,是,手机,29,一月,136,1,262,3,失败,否
1399,33,技术人员,单身,高等教育,否,否,否,手机,21,八月,126,3,-1,0,未知,否
1400,35,技术人员,已婚,中学,否,否,否,座机,28,一月,653,3,-1,0,未知,否
1401,44,管理者,已婚,未知,否,是,否,座机,14,五月,7,7,-1,0,未知,否
1402,48,管理者,离异,高等教育,否,是,否,手机,9,四月,528,1,-1,0,未知,否
1403,29,蓝领,已婚,中学,否,是,否,手机,13,五月,785,1,-1,0,未知,否
1404,50,管理者,已婚,高等教育,否,否,否,手机,9,七月,243,5,-1,0,未知,否
1405,37,蓝领,已婚,小学,否,是,否,手机,13,五月,24,2,362,1,其他,否
1406,44,行政,单身,中学,否,否,否,未知,19,六月,82,1,-1,0,未知,否
1407,36,没工作,单身,高等教育,否,是,否,未知,11,六月,952,3,-1,0,未知,否
1408,49,蓝领,离异,未知,否,是,否,手机,13,五月,27,5,-1,0,未知,否
1409,31,蓝领,已婚,中学,否,是,否,未知,5,五月,143,1,-1,0,未知,否
1410,49,技术人员,离异,中学,否,是,否,未知,12,五月,274,6,-1,0,未知,否
1411,35,蓝领,单身,中学,否,是,否,手机,16,四月,1174,1,345,4,其他,是
1412,57,行政,离异,未知,否,否,否,手机,20,十一月,915,1,-1,0,未知,否
1413,42,蓝领,已婚,小学,否,是,否,手机,5,二月,115,1,-1,0,未知,否
1414,36,蓝领,离异,中学,否,是,否,未知,26,五月,222,2,-1,0,未知,否
1415,75,已退休,离异,小学,否,否,否,手机,15,三月,341,1,-1,0,未知,否
1416,38,蓝领,单身,中学,否,是,否,未知,21,五月,112,2,-1,0,未知,否
1417,40,蓝领,已婚,小学,是,是,否,未知,6,五月,64,2,-1,0,未知,否
1418,38,服务业,单身,中学,否,是,否,手机,13,五月,937,3,-1,0,未知,是
1419,34,管理者,单身,高等教育,否,是,否,手机,10,七月,129,1,-1,0,未知,否
1420,29,技术人员,单身,高等教育,否,是,否,手机,11,五月,59,1,-1,0,未知,否
1421,28,行政,已婚,中学,否,是,否,手机,29,一月,79,1,225,2,成功,否
1422,79,已退休,已婚,中学,否,否,否,座机,9,七月,151,5,-1,0,未知,否
1423,51,行政,离异,中学,否,是,否,未知,19,五月,83,1,-1,0,未知,否
1424,32,学生,单身,高等教育,否,否,否,手机,6,八月,101,5,3,6,其他,否
1425,36,管理者,已婚,高等教育,否,否,否,手机,5,八月,157,3,97,2,成功,是
1426,38,企业家,已婚,中学,否,否,是,手机,15,五月,57,11,366,1,其他,否
1427,49,个体户,已婚,中学,否,是,是,未知,13,五月,176,3,-1,0,未知,否
1428,42,服务业,已婚,中学,否,是,否,手机,11,五月,222,3,-1,0,未知,否
1429,43,蓝领,已婚,小学,否,是,否,未知,2,六月,217,4,-1,0,未知,否
1430,34,蓝领,已婚,中学,否,是,否,未知,26,五月,252,1,-1,0,未知,否
1431,59,已退休,单身,中学,否,是,否,未知,27,五月,1063,5,-1,0,未知,是
1432,35,未知,已婚,小学,否,否,否,手机,29,八月,41,2,-1,0,未知,否
1433,33,蓝领,单身,中学,否,是,否,未知,20,六月,27,25,-1,0,未知,否
1434,34,行政,单身,中学,否,是,否,手机,17,四月,758,2,-1,0,未知,否
1435,64,已退休,已婚,中学,否,否,否,座机,29,七月,301,3,-1,0,未知,是
1436,34,企业家,已婚,高等教育,否,是,否,手机,16,七月,574,1,-1,0,未知,否
1437,77,已退休,已婚,高等教育,否,否,否,手机,16,十月,847,1,60,1,成功,是
1438,57,已退休,已婚,小学,否,否,是,座机,30,七月,78,5,-1,0,未知,否
1439,30,蓝领,已婚,中学,否,是,是,未知,27,五月,514,1,-1,0,未知,否
1440,56,保姆,离异,小学,是,否,否,未知,5,六月,1558,1,-1,0,未知,是
1441,49,未知,已婚,未知,否,否,否,手机,14,八月,789,2,-1,0,未知,否
1442,73,已退休,已婚,小学,否,否,否,手机,20,七月,146,3,190,3,成功,否
1443,39,技术人员,单身,中学,否,是,否,手机,14,八月,272,2,-1,0,未知,否
1444,57,技术人员,离异,小学,否,是,否,手机,8,五月,323,2,368,2,失败,否
1445,32,个体户,已婚,中学,否,是,否,手机,11,七月,712,2,-1,0,未知,否
1446,32,技术人员,单身,高等教育,否,是,否,未知,21,五月,860,2,-1,0,未知,是
1447,45,行政,已婚,中学,否,是,否,手机,20,八月,75,9,-1,0,未知,否
1448,32,蓝领,已婚,中学,否,是,否,未知,19,五月,191,4,-1,0,未知,否
1449,31,管理者,已婚,高等教育,否,是,是,手机,24,七月,1441,2,-1,0,未知,是
1450,49,个体户,已婚,中学,否,否,否,手机,12,八月,428,2,-1,0,未知,否
1451,29,服务业,已婚,中学,否,否,否,手机,28,五月,322,3,-1,0,未知,否
1452,55,技术人员,已婚,中学,否,是,否,手机,29,一月,104,1,-1,0,未知,否
1453,30,行政,已婚,中学,否,是,否,手机,8,五月,127,1,-1,0,未知,否
1454,45,服务业,单身,小学,否,是,否,未知,3,六月,1259,6,-1,0,未知,是
1455,39,技术人员,已婚,高等教育,否,否,否,手机,28,一月,114,2,-1,0,未知,否
1456,36,行政,已婚,中学,否,是,是,未知,13,五月,106,1,-1,0,未知,否
1457,33,管理者,已婚,高等教育,否,否,否,手机,19,十一月,305,1,182,3,失败,否
1458,36,管理者,已婚,高等教育,否,是,否,手机,12,八月,307,1,-1,0,未知,是
1459,31,技术人员,单身,中学,否,否,否,手机,11,八月,1504,2,-1,0,未知,否
1460,36,技术人员,已婚,未知,否,否,否,手机,11,七月,396,3,-1,0,未知,否
1461,38,技术人员,单身,高等教育,否,是,否,手机,1,六月,71,1,-1,0,未知,否
1462,33,未知,已婚,中学,否,否,否,手机,6,八月,205,3,-1,0,未知,否
1463,40,技术人员,已婚,中学,否,是,否,未知,13,五月,134,2,-1,0,未知,否
1464,31,蓝领,已婚,中学,否,否,是,手机,5,六月,166,2,-1,0,未知,是
1465,39,服务业,已婚,中学,否,是,否,手机,31,七月,81,5,-1,0,未知,否
1466,33,行政,已婚,高等教育,否,否,是,手机,4,五月,77,2,-1,0,未知,否
1467,53,服务业,离异,中学,否,否,否,手机,12,三月,80,2,-1,0,未知,是
1468,38,管理者,已婚,高等教育,否,是,否,手机,13,五月,537,5,303,2,失败,否
1469,59,技术人员,已婚,中学,否,否,否,手机,15,六月,415,1,89,1,成功,是
1470,55,蓝领,已婚,小学,否,否,否,手机,19,十一月,291,1,-1,0,未知,否
1471,38,技术人员,单身,高等教育,否,是,否,手机,14,五月,283,1,288,12,其他,否
1472,48,服务业,已婚,中学,否,是,否,座机,20,四月,70,4,-1,0,未知,否
1473,53,蓝领,已婚,中学,否,是,否,未知,5,五月,611,2,-1,0,未知,否
1474,44,行政,离异,中学,否,否,否,手机,9,二月,132,3,-1,0,未知,否
1475,57,管理者,已婚,高等教育,否,否,否,未知,18,六月,26,1,-1,0,未知,否
1476,29,蓝领,单身,中学,否,是,否,手机,11,五月,262,3,-1,0,未知,否
1477,31,服务业,已婚,中学,否,是,否,未知,21,五月,272,1,-1,0,未知,否
1478,35,技术人员,单身,高等教育,否,是,否,手机,28,十二月,137,1,122,3,失败,否
1479,31,蓝领,已婚,小学,否,否,否,手机,30,三月,95,1,-1,0,未知,否
1480,35,个体户,已婚,高等教育,否,否,否,手机,19,十一月,140,2,-1,0,未知,否
1481,40,管理者,单身,中学,否,是,否,未知,16,五月,71,11,-1,0,未知,否
1482,39,蓝领,已婚,中学,否,是,否,手机,7,五月,502,1,7,2,失败,否
1483,43,技术人员,单身,高等教育,否,是,否,未知,3,六月,164,7,-1,0,未知,否
1484,44,企业家,已婚,小学,否,是,是,未知,15,五月,219,1,-1,0,未知,否
1485,29,技术人员,单身,中学,否,否,否,手机,12,二月,328,2,183,4,成功,是
1486,40,技术人员,已婚,中学,否,是,否,未知,14,五月,224,2,-1,0,未知,否
1487,33,企业家,已婚,小学,否,是,否,手机,18,十一月,63,2,-1,0,未知,否
1488,46,管理者,已婚,高等教育,否,否,否,手机,29,八月,24,13,-1,0,未知,否
1489,27,未知,单身,高等教育,否,否,否,座机,28,一月,147,4,-1,0,未知,否
1490,26,行政,单身,中学,否,否,否,手机,30,七月,84,3,-1,0,未知,否
1491,41,技术人员,已婚,中学,否,是,否,手机,9,七月,175,1,-1,0,未知,否
1492,34,技术人员,已婚,高等教育,否,是,否,手机,21,八月,12,21,-1,0,未知,否
1493,39,技术人员,单身,高等教育,否,否,是,手机,25,八月,40,15,-1,0,未知,否
